area,spell_id,name,rank,family,dmg_class,school_mask,cast_ms,base_cast_ms,gcd_ms,gcd_category,cooldown_ms,category_cooldown_ms,duration_ms,max_duration_ms,stacks,tick_ms,speed,max_targets,binary,channeled,ranged_slot,auto_repeat,resets_swing,haste_gcd,haste_periodic,no_active_defense,always_hit,positive,passive,proc_ppm,proc_chance,proc_icd_ms,triggers,scripts,sim_refs
rogue,26889,Vanish,Rank 3,8,0,1,0,0,0,0,0,180000,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,26888 18461,spell_rog_vanish,sim/rogue/vanish.go:11
core,26982,Rejuvenation,Rank 13,7,1,8,0,0,1500,133,0,0,15000,15000,0,3000,0,0,yes,no,no,no,yes,yes,no,no,no,yes,no,,,,,spell_dru_rejuvenation_moonglade_2_set isAllowedToCastSpell,sim/core/buffs.go:273
core,27013,Insect Swarm,Rank 6,7,1,8,0,0,1500,133,0,0,12000,12000,0,2000,0,0,yes,no,no,no,yes,yes,no,no,no,no,no,,,,,spell_dru_insect_swarm spell_tweaks_balance_dot_haste,sim/core/debuffs.go:883
common/tbc,27521,Mana Restore,,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,5,15000,32848,,sim/common/tbc/metagems.go:12 sim/common/tbc/metagems.go:49
common/tbc,28093,Lightning Speed,,0,0,1,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/enchant_effects.go:114 sim/common/tbc/enchant_effects.go:115
encounters,28131,Frenzy,,0,0,1,0,0,0,0,0,0,300000,300000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/encounters/naxxramas/patchwerk10_ai.go:94 sim/encounters/naxxramas/patchwerk25_ai.go:94
core,28593,Winter's Chill,Rank 3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,12579,,sim/core/debuffs.go:470
core,28730,Arcane Torrent,Racial,0,1,64,0,0,0,0,120000,0,2000,2000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/racials.go:32
mage,29076,Master of Elements,Rank 3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,8,,spell_mage_master_of_elements,sim/mage/talents.go:410
core druid,29166,Innervate,,7,1,8,0,0,1500,133,180000,0,10000,10000,0,1000,0,0,yes,no,no,no,no,yes,no,no,no,yes,no,,,,,spell_dru_innervate,sim/core/buffs.go:1110 sim/core/buffs.go:1128 sim/core/serverdata_allowlist.go:21 +2 more
warrior,29724,Sudden Death,Rank 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,9,0,52437,spell_war_sudden_death_aura spell_warr_extra_proc,sim/warrior/talents.go:584 sim/warrior/talents.go:591
core,29859,Blood Frenzy,Rank 2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,30070,,sim/core/debuffs.go:374
shaman,30160,Elemental Devastation,Rank 1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,500,30165,,sim/shaman/talents.go:152
core,30708,Totem of Wrath,,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,sim/core/debuffs.go:913
shaman,30823,Shamanistic Rage,,11,0,1,0,0,1500,133,60000,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,18,0,0,30824,spell_sha_shamanistic_rage,sim/shaman/shamanistic_rage.go:17
rogue,31221,Master of Subtlety,Rank 1,8,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/rogue/master_of_subtlety.go:11
rogue,31222,Master of Subtlety,Rank 2,8,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/rogue/master_of_subtlety.go:11
rogue,31223,Master of Subtlety,Rank 3,8,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/rogue/master_of_subtlety.go:11
rogue,31245,Quick Recovery,Rank 2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_rog_quick_recovery,sim/rogue/rogue.go:150
mage,31572,Arcane Potency,Rank 2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,101,0,,spell_mage_arcane_potency,sim/mage/talents.go:151
mage,31687,Summon Water Elemental,,3,1,16,0,0,1500,133,180000,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,yes,no,,,,,spell_mage_summon_water_elemental,sim/mage/water_elemental.go:25
mage,31707,Waterbolt,,5,1,16,2500,2500,1500,133,0,0,0,0,0,0,16,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/water_elemental.go:120
paladin,31801,Seal of Vengeance,,10,1,2,0,0,1500,133,0,0,1800000,1800000,0,0,0,0,no,no,no,no,no,yes,no,no,no,yes,no,0,100,0,,spell_pal_seal_of_vengeance,sim/paladin/sov.go:153
paladin,31803,Holy Vengeance,Rank 1,10,2,2,0,0,0,0,0,0,15000,15000,5,3000,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/paladin/sov.go:44 sim/paladin/sov.go:76
paladin,31804,Judgement of Vengeance,Rank 1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,yes,yes,no,no,,,,,,sim/paladin/sov.go:101
core paladin,31878,Judgements of the Wise,Rank 3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_pal_judgements_of_the_wise,sim/core/buffs.go:152 sim/paladin/talents.go:543 sim/paladin/talents.go:544 +1 more
paladin,31884,Avenging Wrath,,10,0,2,0,0,0,0,180000,0,20000,20000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_pal_avenging_wrath,sim/paladin/avenging_wrath.go:11 sim/paladin/serverdata_allowlist.go:10
warlock,32391,Shadow Embrace,,5,0,32,0,0,0,0,0,0,12000,12000,3,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warlock/talents.go:280
warlock,32851,Demonic Frenzy,,5,0,1,0,0,0,0,0,0,10000,10000,10,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warlock/pet.go:165
priest,33154,Surge of Light,Rank 2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,50,6000,33151,,sim/priest/talents.go:331
core,33198,Misery,Rank 3,6,0,32,0,0,0,0,0,0,24000,24000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:516
core,33206,Pain Suppression,,6,0,2,0,0,1500,133,180000,0,8000,8000,0,0,0,0,yes,no,no,no,yes,yes,no,no,no,yes,no,,,,,,sim/core/buffs.go:914 sim/core/buffs.go:930 sim/core/serverdata_allowlist.go:23 +1 more
core,33697,Blood Fury,Racial,0,0,1,0,0,0,0,120000,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/racials.go:132
paladin,33776,Spiritual Attunement,Rank 2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_pal_spiritual_attunement,sim/paladin/spiritual_attunement.go:15
hunter,34026,Kill Command,,9,0,1,0,0,0,0,0,60000,30000,30000,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,spell_hun_kill_command,sim/hunter/kill_command.go:14
hunter,34074,Aspect of the Viper,,9,1,8,0,0,0,0,0,1000,-1,-1,0,3000,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,spell_hun_ascpect_of_the_viper,sim/hunter/aspects.go:74
druid,34300,Improved Leader of the Pack,Rank 2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/druid/talents.go:567
priest,34433,Shadowfiend,,6,0,32,0,0,1500,133,300000,0,15000,15000,0,0,0,0,no,no,no,no,no,yes,no,no,no,no,no,,,,41967,,sim/priest/shadowfiend.go:14 sim/priest/shadowfiend_pet.go:34
hunter,34490,Silencing Shot,,9,3,1,0,-1000000,0,0,20000,0,3000,3000,0,0,0,0,no,no,yes,no,no,no,no,no,no,no,no,,,,,,sim/hunter/silencing_shot.go:15
hunter,34499,Thrill of the Hunt,Rank 3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_hun_thrill_of_the_hunt,sim/hunter/talents.go:609
hunter,34503,Expose Weakness,Rank 3,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,34501,,sim/hunter/talents.go:647
common/tbc,34774,Magtheridon Melee Trinket,,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,1.5,0,20000,34775,,sim/common/tbc/melee_trinkets.go:13 sim/common/tbc/melee_trinkets.go:78
hunter,34839,Master Tactician,Rank 5,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,10,0,34837,,sim/hunter/talents.go:705
priest,34860,Holy Concentration,Rank 3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,1,63725,,sim/priest/talents.go:256
core,34917,Vampiric Touch,Rank 3,6,1,32,1500,1500,1500,133,0,0,15000,15000,0,3000,0,0,no,no,no,no,yes,yes,no,no,no,no,no,0,100,0,,spell_pri_vampiric_touch,sim/core/mana.go:128
hunter,34953,Go for the Throat,Rank 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/hunter/talents.go:478
hunter,35295,Gore,Rank 6,9,2,1,0,0,1500,133,10000,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/hunter/pet_abilities.go:376 sim/hunter/serverdata_allowlist.go:16
paladin,35395,Crusader Strike,,10,2,1,0,0,1500,133,4000,0,1,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,spell_tweaks_seal_dot_on_strikes,sim/paladin/crusader_strike.go:18
rogue,35553,Combat Potency,Rank 5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,20,0,35548,spell_rog_combat_potency,sim/rogue/talents.go:375
warlock,35706,Master Demonologist,,0,0,32,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warlock/pet.go:203
mage,36032,Arcane Blast,,3,0,64,0,0,0,0,0,0,6000,6000,4,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,0,100,0,,,sim/mage/arcane_blast.go:17
rogue,36554,Shadowstep,,8,0,1,0,0,0,0,30000,0,3000,3000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,36563 44373,,sim/rogue/shadowstep.go:14
druid,37117,Primal Fury,Rank 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,16961 16954,,sim/druid/talents.go:242
paladin,38428,Wisdom,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/paladin/items.go:16
shaman,38432,Stormstrike AP Buff,,11,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/shaman/stormstrike.go:81
core,38927,Fel Ache,,0,0,1,0,0,0,0,0,0,900000,900000,10,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/consumes.go:719
common/tbc,39958,Skyfire Swiftness,,0,0,2,0,0,0,133,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0.7,0,40000,39959,,sim/common/tbc/metagems.go:13 sim/common/tbc/metagems.go:74
common/tbc,40291,Siphon Essence,,0,0,1,0,0,0,0,0,0,6000,6000,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,0,100,0,40293,,sim/common/tbc/melee_items.go:257 sim/common/tbc/melee_items.go:272
common/tbc,40407,Illidan Tank Shield,,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,6,0,0,40408,,sim/common/tbc/melee_items.go:10 sim/common/tbc/melee_items.go:301
common/tbc,40475,Black Temple Melee Trinket,,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,3,0,0,40477,,sim/common/tbc/melee_trinkets.go:14 sim/common/tbc/melee_trinkets.go:148
warlock,40478,Warlock Tier 6 Trinket,,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,20,0,40480,,sim/warlock/items.go:238
druid,41037,Mangle AP Buff,,7,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,41038,,sim/druid/items.go:329
paladin,41042,Judgement Block Value,,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,41043,,sim/paladin/items.go:440
common/tbc,41434,The Twin Blades of Azzinoth,,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,2,0,45000,41435,,sim/common/tbc/melee_sets.go:14 sim/common/tbc/melee_sets.go:19
common/tbc,41435,The Twin Blades of Azzinoth,,0,1,1,0,0,0,0,0,0,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/melee_sets.go:147
common/tbc,41989,Fists of Fury,,0,1,8,0,0,0,0,0,0,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,1.5,0,0,41990,,sim/common/tbc/melee_sets.go:13 sim/common/tbc/melee_sets.go:18 sim/common/tbc/melee_sets.go:31
paladin,42463,Seal of Vengeance,,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,,,,,,sim/paladin/sov.go:130
deathknight,42650,Army of the Dead,,15,0,32,0,0,1500,133,600000,0,4000,4000,0,500,0,0,no,yes,no,no,no,yes,no,no,no,yes,no,,,,42651,,sim/deathknight/army_of_the_dead.go:13 sim/deathknight/army_of_the_dead.go:43
mage,42833,Fireball,Rank 16,3,1,4,3500,3500,1500,133,0,0,8000,8000,0,2000,24,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/fireball.go:15
mage,42842,Frostbolt,Rank 16,3,1,16,3000,3000,1500,133,0,0,9000,9000,0,0,28,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/frostbolt.go:20
mage,42845,Arcane Missiles,Rank 13,3,1,64,0,0,0,0,0,0,0,0,0,0,20,0,no,no,no,no,yes,no,no,no,no,no,no,,,,,,sim/mage/arcane_missiles.go:15
mage,42846,Arcane Missiles,Rank 13,3,0,64,0,0,1500,133,0,0,5000,5000,0,1000,0,0,no,yes,no,no,yes,yes,yes,no,no,no,no,,,,42845,spell_mage_arcane_missiles,sim/mage/arcane_missiles.go:41
mage,42859,Scorch,Rank 11,3,1,4,1500,1500,1500,133,0,0,0,0,0,0,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/scorch.go:20
mage,42873,Fire Blast,Rank 11,3,1,4,0,0,1500,133,0,8000,0,0,0,0,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/fire_blast.go:11
mage,42891,Pyroblast,Rank 12,3,1,4,5000,5000,1500,133,0,0,12000,12000,0,3000,24,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/pyroblast.go:22
mage,42897,Arcane Blast,Rank 4,3,1,64,2500,2500,1500,133,0,0,0,0,0,0,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,36032,spell_mage_arcane_blast,sim/mage/arcane_blast.go:28
mage,42914,Ice Lance,Rank 3,3,1,16,0,0,1500,133,0,0,0,0,0,0,38,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/ice_lance.go:9
mage,42921,Arcane Explosion,Rank 10,3,1,64,0,0,1500,133,0,0,0,0,0,0,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/arcane_explosion.go:10
mage,42925,Flamestrike,Rank 8,3,1,4,2000,2000,1500,133,0,0,8000,8000,0,2000,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/flamestrike.go:17
mage,42926,Flamestrike,Rank 9,3,1,4,2000,2000,1500,133,0,0,8000,8000,0,2000,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/flamestrike.go:10
mage,42938,Blizzard,Rank 9,3,1,16,0,0,0,133,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/mage/blizzard.go:30
mage,42940,Blizzard,Rank 9,3,1,16,0,0,1500,133,0,0,8000,8000,0,1000,0,0,no,yes,no,no,yes,yes,yes,no,no,no,no,,,,42938,,sim/mage/blizzard.go:51
mage,42945,Blast Wave,Rank 9,3,1,4,0,0,1500,133,0,30000,6000,6000,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,,,,,spell_mage_blast_wave,sim/mage/blast_wave.go:14
mage,42950,Dragon's Breath,Rank 6,3,1,4,0,0,1500,133,0,20000,5000,5000,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,0,100,0,,spell_mage_dragon_breath,sim/mage/dragons_breath.go:14
common/tbc,42976,Executioner,,0,0,1,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/common/tbc/enchant_effects.go:163
druid,43740,Lunar Grace,,0,0,8,0,0,0,133,0,0,10000,10000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,,,,,,sim/druid/items.go:344
shaman,43749,Elemental Strength,,0,0,2,0,0,0,0,0,0,10000,10000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,,,,,,sim/shaman/items.go:97
shaman,43751,Energized,,0,1,8,0,0,0,133,0,0,10000,10000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,,,,,,sim/shaman/items.go:70
mage,44401,Missile Barrage,,3,1,64,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,101,0,,spell_mage_missile_barrage_proc,sim/mage/talents.go:246
mage,44448,Hot Streak,Rank 3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_mage_hot_streak,sim/mage/talents.go:79 sim/mage/talents.go:99
common/wotlk,44525,Icebreaker,,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/common/wotlk/enchant_effects.go:80
mage,44545,Fingers of Frost,Rank 2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,15,0,44544,,sim/mage/talents.go:665
mage,44549,Brain Freeze,Rank 3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,15,0,57761,spell_mage_brain_freeze,sim/mage/talents.go:710
core mage,44561,Enduring Winter,Rank 3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,6000,57669,,sim/core/buffs.go:156 sim/mage/frostbolt.go:16
mage,44572,Deep Freeze,,3,1,16,0,0,1500,133,0,30000,5000,5000,0,0,0,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/deep_freeze.go:15
common/wotlk,44622,Tendon Rip,,0,0,1,0,0,0,0,0,0,15000,15000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/common/wotlk/enchant_effects.go:35
mage,44781,Arcane Barrage,Rank 3,3,1,64,0,0,1500,133,0,3000,0,0,0,0,24,0,no,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/mage/arcane_barrage.go:16
deathknight,45529,Blood Tap,,15,0,1,0,0,0,0,60000,0,20000,20000,0,0,0,0,yes,no,no,no,yes,no,no,no,no,yes,no,,,,,,sim/deathknight/blood_tap.go:10
common/tbc,46579,Deathfrost,,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,,,,46629,,sim/common/tbc/enchant_effects.go:247
deathknight,46584,Raise Dead,,15,1,1,0,0,1500,133,0,180000,0,0,0,0,0,0,no,no,no,no,no,yes,no,no,yes,yes,no,,,,,spell_dk_raise_dead,sim/deathknight/raise_dead.go:17 sim/deathknight/raise_dead.go:28
common/tbc,46662,Deathfrost,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,50,25000,46579,,sim/common/tbc/enchant_effects.go:12 sim/common/tbc/enchant_effects.go:187
druid,46832,Moonkin Starfire Bonus,,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,15,15000,46833,,sim/druid/items.go:158
core,46855,Trauma,Rank 2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,46857,,sim/core/debuffs.go:426
warrior,46916,Slam!,,4,0,1,0,0,0,0,0,0,5000,5000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/warrior/talents.go:234
warrior,46924,Bladestorm,,4,2,1,0,0,1500,133,90000,0,6000,6000,0,1000,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,50622,,sim/warrior/serverdata_allowlist.go:16 sim/warrior/talents.go:787
hunter,46939,Black Bow of the Betrayer,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,18350,spell_gen_black_bow_of_the_betrayer,sim/hunter/items.go:26
warrior,46953,Sword and Board,Rank 3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,30,0,50227,spell_warr_sword_and_board,sim/warrior/talents.go:895
warrior,46968,Shockwave,,4,3,1,0,0,1500,133,0,20000,4000,4000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/shockwave.go:16
warlock,47193,Demonic Empowerment,,5,1,32,0,0,0,0,60000,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,spell_warl_demonic_empowerment,sim/warlock/demonic_empowerment.go:21 sim/warlock/demonic_empowerment.go:37 sim/warlock/demonic_empowerment.go:49 +1 more
core,47240,Demonic Pact,Rank 5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/core/buffs.go:1355
warlock,47241,Metamorphosis,,5,0,1,0,0,0,0,180000,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warlock/metamorphosis.go:17 sim/warlock/metamorphosis.go:29
warlock,47283,Empowered Imp,,5,1,32,0,0,0,0,0,0,8000,8000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/warlock/talents.go:120
warrior,47296,Critical Block,Rank 3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,,,,,,sim/warrior/talents.go:77
core warrior,47436,Battle Shout,Rank 9,4,0,1,0,0,1500,133,0,0,120000,120000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/buffs.go:1382 sim/warrior/shouts.go:40
core,47437,Demoralizing Shout,Rank 8,4,1,1,0,0,1500,133,0,0,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:730
core warrior,47440,Commanding Shout,Rank 3,4,0,1,0,0,1500,133,0,0,120000,120000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/core/buffs.go:1425 sim/warrior/shouts.go:44
lib warrior,47450,Heroic Strike,Rank 13,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,spell_warr_heroic_strike,sim/lib/library.go:178 sim/warrior/heroic_strike_cleave.go:16 sim/warrior/items.go:200
warrior,47465,Rend,Rank 10,4,2,1,0,0,1500,133,0,0,15000,15000,0,3000,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,spell_warr_rend spell_tweaks_rend_haste,sim/warrior/rend.go:20
core warrior,47467,Sunder Armor,Rank 7,4,2,1,0,0,1500,133,0,0,0,0,5,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,11971,,sim/core/debuffs.go:560 sim/warrior/sunder_armor.go:14
deathknight,47468,Claw,,0,2,1,0,0,1000,133,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/deathknight/ghoul_pet.go:228
warrior,47471,Execute,Rank 9,4,2,1,0,0,1500,133,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,spell_warr_execute,sim/warrior/execute.go:18
warrior,47475,Slam,Rank 8,4,2,1,1500,1500,1500,133,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,yes,no,no,no,,,,,spell_warr_slam,sim/warrior/serverdata_allowlist.go:18 sim/warrior/slam.go:11
warrior,47486,Mortal Strike,Rank 8,4,2,1,0,0,1500,133,0,6000,10000,10000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/mortal_strike.go:16
warrior,47488,Shield Slam,Rank 8,4,2,1,0,0,1500,133,0,6000,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/shield_slam.go:28
warrior,47498,Devastate,Rank 5,4,2,1,0,0,1500,133,0,0,0,0,5,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/devastate.go:21
core warrior,47502,Thunder Clap,Rank 9,4,3,1,0,0,1500,133,0,6000,30000,30000,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,,,,,,sim/core/debuffs.go:773 sim/warrior/thunder_clap.go:16
priest,47515,Divine Aegis,Rank 3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,yes,0,100,0,,spell_pri_divine_aegis,sim/priest/talents.go:82
priest,47517,Grace,Rank 2,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,yes,no,no,no,no,no,no,no,no,yes,yes,0,100,0,47930,,sim/priest/talents.go:126
warrior,47520,Cleave,Rank 8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,,,,,,sim/warrior/heroic_strike_cleave.go:62
