area,spell_id,name,row,ppm,chance,icd_ms,charges,proc_flags,spell_type_mask,spell_phase_mask,hit_mask,attributes,school_mask,family,family_mask,sim_refs
common/wotlk,64714,Flame of the Heavens,64714,0,10,45000,0,0x10000,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:361
common/wotlk,64738,Show of Faith,64738,0,10,50000,0,0x54000,0x3,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:371
common/wotlk,64741,Pandora's Plea,0,0,100,0,0,0x15550,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:334
common/wotlk,64742,Pandora's Plea,64742,0,10,45000,0,0x14000,0x3,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:339
common/wotlk,64786,Comet's Trail,64786,0,15,45000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:382
common/wotlk,64792,Blood of the Old God,64792,0,10,50000,0,0x154,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:350
druid,64823,Elune's Wrath,64823,0,101,0,1,0x10000,0x1,0x1,0x0,,0x0,7,0x4 0x0 0x0,sim/druid/insect_swarm.go:22
hunter,64860,Item - Hunter T8 4P Bonus,64860,0,10,45000,0,0x100,0x0,0x2,0x0,,0x0,9,0x0 0x1 0x0,sim/hunter/wotlk_items.go:55
priest,64912,Item - Priest T8 Healer 4P Bonus,64912,0,100,0,0,0x4000,0x0,0x2,0x0,,0x0,6,0x1 0x0 0x0,sim/priest/items.go:92
common/wotlk,65002,Bonus Mana Regen,65002,0,10,50000,0,0x54000,0x3,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:402
common/wotlk,65005,Alacrity of the Elements,65005,0,10,45000,0,0x10000,0x1,0x1,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:392
common/wotlk,65013,Pyrite Infusion,65013,0,10,50000,0,0x154,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:329
common/wotlk,65020,Mjolnir Runestone,65020,0,15,45000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:413
common/wotlk,65025,Dark Matter,65025,0,15,45000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:424
rogue,67209,Item - Rogue T9 2P Bonus (Rupture),67209,0,2,15000,0,0x40000,0x0,0x2,0x0,,0x1,8,0x100000 0x0 0x0,sim/rogue/items.go:45 sim/rogue/items.go:49
paladin,67365,Item - Paladin T9 Retribution Relic (Seal of Vengeance),67365,0,70,8000,0,0x40000,0x0,0x2,0x0,,0x0,10,0x0 0x800 0x0,sim/paladin/items.go:411
common/wotlk,67667,Coliseum 5 Healer Trinket,67667,0,25,45000,0,0x4000,0x2,0x1,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/other_effects.go:581
warrior,68051,Overpower Ready!,68051,0,100,0,1,0x10,0x0,0x2,0x0,,0x1,4,0x4 0x0 0x0,sim/warrior/overpower.go:30
hunter,70727,Item - Hunter T10 2P Bonus,70727,0,5,0,0,0x40,0x0,0x2,0x0,,0x0,9,0x1 0x0 0x0,sim/hunter/wotlk_items.go:141
hunter,70730,Item - Hunter T10 4P Bonus,70730,0,5,0,0,0x40000,0x0,0x2,0x0,,0x0,9,0x4000 0x1000 0x0,sim/hunter/wotlk_items.go:171
mage,70748,Item - Mage T10 4P Bonus,70748,0,100,0,0,0x400,0x0,0x2,0x0,,0x0,3,0x0 0x200000 0x0,sim/mage/mirror_image.go:18
paladin,70765,Item - Paladin T10 Retribution 2P Bonus,0,0,40,0,0,0x4,0x7,0x2,0x0,,0x0,10,0x2000400 0x20000808 0x0,sim/paladin/items.go:101
priest,70770,Item - Priest T10 Healer 2P Bonus,70770,0,33,0,0,0x4000,0x2,0x2,0x0,,0x0,6,0x800 0x0 0x0,sim/priest/items.go:157
warlock,71165,Molten Core,71165,0,100,0,3,0x10000,0x0,0x1,0x0,req_spellmod,0x0,5,0x0 0xc0 0x0,sim/warlock/talents.go:366
common/wotlk,71845,Item - Icecrown 25 Normal Caster Weapon Proc,0,0,2,0,0,0x10000,0x7,0x2,0x0,,0x0,0,0x800000 0x0 0x0,sim/common/wotlk/nibelung.go:97
common/wotlk,71846,Item - Icecrown 25 Heroic Caster Weapon Proc,0,0,2,0,0,0x10000,0x7,0x2,0x0,,0x0,0,0x800000 0x0 0x0,sim/common/wotlk/nibelung.go:94
common/wotlk,71871,Item - Icecrown 25 Normal Tank Weapon Proc,0,0,37,0,0,0x14,0x7,0x2,0x0,,0x0,10,0x800000 0x0 0x0,sim/common/wotlk/other_effects.go:1129
common/wotlk,71873,Item - Icecrown 25 Heroic Tank Weapon Proc,0,0,37,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x800000 0x0 0x0,sim/common/wotlk/other_effects.go:1138
common/wotlk,71875,Necrotic Touch,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x1000 0x0,sim/common/wotlk/other_effects.go:985
common/wotlk,71877,Necrotic Touch,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x1000 0x0,sim/common/wotlk/other_effects.go:989
common/wotlk,72413,Item - Icecrown Reputation Ring Melee,72413,0,10,60000,0,0x154,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:600 sim/common/wotlk/stat_bonus_procs.go:612 sim/common/wotlk/stat_bonus_procs.go:648 +1 more
common/wotlk,72415,Item - Icecrown Reputation Ring Tank Trigger,0,0,3,0,0,0x28,0x7,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/common/wotlk/stat_bonus_procs.go:624 sim/common/wotlk/stat_bonus_procs.go:636
